date,portfolio_value,daily_pnl,zscore_SLB_HAL,position_SLB_HAL,hedgert_SLB_HAL,value_SLB_HAL,zscore_PSX_VLO,position_PSX_VLO,hedgert_PSX_VLO,value_PSX_VLO,zscore_XOM_CVX,position_XOM_CVX,hedgert_XOM_CVX,value_XOM_CVX
2025-03-03,99999.99,0.0,0.347536,flat,0.328506,33333.33,1.368567,flat,0.680129,33333.33,-0.397621,flat,0.51709,33333.33
2025-03-04,99999.99,0.0,0.051228,flat,0.295996,33333.33,0.850608,flat,0.655234,33333.33,-0.336208,flat,0.483488,33333.33
2025-03-05,99999.99,0.0,0.208124,flat,0.269583,33333.33,1.094663,flat,0.63079,33333.33,-0.724546,flat,0.475091,33333.33
2025-03-06,99999.99,0.0,0.308495,flat,0.250814,33333.33,1.193731,flat,0.61615,33333.33,-0.350184,flat,0.45592,33333.33
2025-03-07,99999.99,0.0,1.185131,flat,0.227784,33333.33,1.860817,flat,0.603218,33333.33,-0.249109,flat,0.444546,33333.33
2025-03-10,99999.99,0.0,0.997239,flat,0.20569,33333.33,1.835829,flat,0.582893,33333.33,0.317363,flat,0.440582,33333.33
2025-03-11,99999.99,0.0,0.309481,flat,0.200385,33333.33,1.694591,flat,0.560942,33333.33,-0.031754,flat,0.431591,33333.33
2025-03-12,99999.99,0.0,0.249117,flat,0.186105,33333.33,1.481157,flat,0.546182,33333.33,0.069873,flat,0.425556,33333.33
2025-03-13,99999.99,0.0,0.220601,flat,0.177188,33333.33,1.039602,flat,0.540146,33333.33,-0.094436,flat,0.420959,33333.33
2025-03-14,99999.99,0.0,0.845738,flat,0.172095,33333.33,1.606314,flat,0.53859,33333.33,0.417654,flat,0.425962,33333.33
2025-03-17,99999.99,0.0,1.003993,flat,0.165396,33333.33,1.674193,flat,0.541476,33333.33,0.69776,flat,0.443461,33333.33
2025-03-18,99999.99,0.0,0.80411,flat,0.160783,33333.33,1.571119,flat,0.540378,33333.33,0.493599,flat,0.460443,33333.33
2025-03-19,99999.99,0.0,0.68658,flat,0.145296,33333.33,1.451398,flat,0.530509,33333.33,0.598223,flat,0.488087,33333.33
2025-03-20,99999.99,0.0,0.74184,flat,0.119293,33333.33,1.267141,flat,0.512406,33333.33,0.584136,flat,0.522115,33333.33
2025-03-21,99999.99,0.0,0.494128,flat,0.100378,33333.33,0.83682,flat,0.483158,33333.33,0.446182,flat,0.548603,33333.33
2025-03-24,99999.99,0.0,0.813834,flat,0.091511,33333.33,0.980778,flat,0.449452,33333.33,0.431048,flat,0.581703,33333.33
2025-03-25,99999.99,0.0,1.133819,flat,0.093049,33333.33,0.714369,flat,0.415894,33333.33,0.457777,flat,0.61647,33333.33
2025-03-26,99999.99,0.0,1.169436,flat,0.094488,33333.33,0.718082,flat,0.383553,33333.33,0.536792,flat,0.662158,33333.33
2025-03-27,99999.99,0.0,0.944691,flat,0.094441,33333.33,0.372503,flat,0.343759,33333.33,0.507492,flat,0.707185,33333.33
2025-03-28,99999.99,0.0,0.782329,flat,0.098165,33333.33,-0.237412,flat,0.289126,33333.33,0.457161,flat,0.75467,33333.33
2025-03-31,99999.99,0.0,0.663407,flat,0.107876,33333.33,0.103835,flat,0.246852,33333.33,0.472114,flat,0.818449,33333.33
2025-04-01,99999.99,0.0,0.872739,flat,0.12812,33333.33,0.197684,flat,0.203769,33333.33,0.272608,flat,0.858641,33333.33
2025-04-02,99999.99,0.0,0.811059,flat,0.149418,33333.33,0.114322,flat,0.169243,33333.33,0.40397,flat,0.899337,33333.33
2025-04-03,99983.33,0.0,-0.480632,flat,0.192979,33333.33,-2.856017,long_spread,0.288863,33316.67,0.509789,flat,0.930421,33333.33
2025-04-04,100065.02,98.35,-2.126335,long_spread,0.335965,33316.67,-3.019732,long_spread,0.496107,33415.02,0.605728,flat,0.914525,33333.33
2025-04-07,98579.81,-1485.2,-2.613276,long_spread,0.452801,32522.83,-3.061019,long_spread,0.631299,32723.65,0.640127,flat,0.871149,33333.33
2025-04-08,98188.13,-391.68,-2.382304,long_spread,0.548224,32532.75,-3.166176,long_spread,0.744585,32322.05,0.459112,flat,0.832016,33333.33
2025-04-09,98004.93000000001,-183.20000000000002,-1.053003,long_spread,0.577548,32211.27,-2.059573,long_spread,0.7833,32460.33,0.309323,flat,0.822267,33333.33
2025-04-10,97777.2,-227.72,-2.066717,long_spread,0.641374,31984.98,-2.14269,long_spread,0.838499,32458.89,0.403985,flat,0.798666,33333.33
2025-04-11,97657.57,-119.64,-1.350374,long_spread,0.687192,32051.69,-2.14334,long_spread,0.89099,32272.55,0.945707,flat,0.755439,33333.33
2025-04-14,97628.63,-28.939999999999998,-1.335829,long_spread,0.734537,31895.91,-1.708178,long_spread,0.936346,32399.39,0.909002,flat,0.721007,33333.33
2025-04-15,97694.96,66.33,-1.295908,long_spread,0.771772,31820.68,-1.272259,long_spread,0.979665,32540.95,0.826022,flat,0.693854,33333.33
2025-04-16,97868.41,173.45,-1.037248,long_spread,0.800936,31869.71,-0.900868,long_spread,1.01053,32665.37,0.88258,flat,0.667903,33333.33
2025-04-17,97479.62,-388.79,-1.304433,long_spread,0.832179,31499.73,-0.870991,long_spread,1.029339,32646.56,1.134686,flat,0.642799,33333.33
2025-04-21,97522.93,43.31,-0.988832,long_spread,0.855376,31706.35,-1.036537,long_spread,1.058818,32483.25,1.12767,flat,0.612881,33333.33
2025-04-22,98495.1,988.84,0.361211,long_spread,0.861128,32567.44,-0.834854,long_spread,1.081824,32594.33,1.320804,flat,0.58816,33333.33
